Position,Team,GamesPlayed,GoalsScored,GoalsConceeded,GoalDifference,Points,RankPoints
1,Man City,38,99,73,26,93,93.026099
2,Liverpool,38,94,58,36,92,92.036094
3,Chelsea,38,76,59,17,74,74.017076
4,Tottenham,38,69,57,12,71,71.012069
5,Arsenal,38,61,52,9,69,69.009061
6,Man United,38,57,54,3,58,58.003057
7,West Ham,38,60,59,1,56,56.001060
8,Leicester,38,62,57,5,52,52.005062
9,Brighton,38,42,42,0,51,51.000042
10,Wolves,38,38,45,-7,51,50.993038
11,Newcastle,38,44,53,-9,49,48.991044
12,Crystal Palace,38,50,44,6,48,48.006050
13,Brentford,38,48,43,5,46,46.005048
14,Aston Villa,38,52,58,-6,45,44.994052
15,Southampton,38,43,47,-4,40,39.996043
16,Everton,38,43,52,-9,39,38.991043
17,Leeds,38,42,57,-15,38,37.985042
18,Burnley,38,34,43,-9,35,34.991034
19,Watford,38,34,63,-29,23,22.971034
20,Norwich,38,23,55,-32,22,21.968023
